LinearAccel_X_err,LinearAccel_Y_err,LinearAccel_Z_err,AngularAccel_X_err,AngularAccel_Y_err,AngularAccel_Z_err
0.008115649,0.019463062,0.06434822,0.053685278,0.040755734,0.015449405
0.006677389,0.01905346,0.053191185,0.0767422,0.040727094,0.08963644
0.008106232,0.02150631,0.068758965,0.07717401,0.049854577,0.10369527
0.0051105022,0.020960808,0.06535339,0.071062066,0.06342271,0.08601847
0.0077676773,0.019823074,0.06895447,0.10359776,0.19140816,0.023854256
0.023007393,0.023841858,0.06371403,0.13422847,0.2744832,0.07927036
0.0061917305,0.027697325,0.070653915,0.08955777,0.11145711,0.17653102
0.00040090084,0.014816284,0.065294266,0.019982219,0.017382085,0.2075206
0.0044915676,0.017762423,0.088796616,0.0027353764,0.061466005,0.05423379
0.0022850037,0.017365217,0.08714867,0.01774937,0.030607108,0.019726232
0.0018029213,0.01597929,0.081417084,0.011723161,0.03234613,0.09436321
0.0027434826,0.025844097,0.07459736,0.008568436,0.06584236,0.4962492
0.018501163,0.0060961246,0.0782547,0.09756677,0.08663889,0.60775495
0.006277561,0.011016846,0.07251835,0.01544255,0.043758355,0.27577162
0.002477765,0.031415224,0.067845345,0.06797624,0.0018361807,0.41092062
0.0107780695,0.024276018,0.07381344,0.18824768,0.08471632,0.10806036
0.0036563873,0.019780636,0.07199001,0.11280481,0.063559994,0.3619069
0.010785222,0.040035963,0.06765652,0.06766787,0.04272534,0.11366302
0.010020971,0.044109583,0.066179276,0.005677711,0.029603977,0.027908474
0.01040256,0.04391551,0.059969902,0.034400605,0.01941647,0.0012719631
0.009534836,0.044099092,0.06815338,0.0042819045,0.025942126,0.16882086
0.0023832321,0.051989794,0.06133175,0.045439493,0.082761936,0.17662811
0.010103703,0.056386948,0.0702467,0.028551763,0.032869972,0.64836025
0.029153943,0.023296356,0.07246876,0.108521074,0.13480666,0.81540227
0.013584375,0.030414104,0.0650835,0.044601746,0.069178045,0.23730636
0.008747458,0.045070887,0.055330276,0.03185786,0.059887923,0.47529745
0.017192721,0.037539244,0.07834911,0.10946117,0.045937918,0.1432786
0.009367466,0.041312218,0.07663345,0.04566678,0.032572057,0.10300112
0.0013114214,0.047250748,0.06803799,0.0326659,0.028635675,0.19547892
0.009592056,0.0391531,0.07003307,0.07368174,0.030030545,0.046608448
0.016557097,0.024503708,0.069815636,0.0632557,0.08086997,0.3026374
0.012310028,0.02596116,0.05693531,0.0041221674,0.05520564,0.05423659
0.013765693,0.027436018,0.054883003,0.026455551,0.014250096,0.079799
0.009866357,0.029742956,0.04461384,0.029069334,0.013993558,0.06074679
0.010984778,0.03000474,0.043419838,0.04760328,0.04519778,0.22158527
0.01619339,0.022197008,0.0671463,0.089003,0.08627826,0.5127444
0.008990765,0.03300476,0.05565548,0.021065384,0.026228245,0.090326786
0.0069612265,0.041543007,0.051380157,0.018018872,0.08209199,0.12102842
0.004137397,0.04378271,0.076231,0.06289688,0.0062316023,0.1521219
0.010147452,0.0403862,0.07736111,0.058962017,0.049304303,0.070299625
0.014788985,0.03425789,0.07456303,0.040751845,0.085950196,0.2423091
0.012180209,0.031769514,0.06116867,0.004710759,0.032650284,0.3252914
0.004796505,0.05053544,0.06481266,0.010423984,0.053605728,0.2466743
0.007199049,0.056094885,0.073550224,0.055167805,0.014919967,0.29784346
0.009250522,0.04460883,0.080822945,0.08709907,0.04905927,0.30881095
0.00093376637,0.051495075,0.074622154,0.0083699245,0.0071020983,0.03863722
0.0057370663,0.053635597,0.06801224,0.012900636,0.011350637,0.15414095
0.013770103,0.045960903,0.078186035,0.06003209,0.040443,0.32530656
0.0060153008,0.051553488,0.06984806,0.008652815,0.008879217,0.11826697
0.0071548223,0.05081868,0.07283878,0.016679078,0.049482472,0.09919453
0.009467602,0.04756069,0.07111263,0.050892614,0.0018308044,0.115592
0.008433461,0.052339792,0.06344509,0.018089363,0.007722327,0.23751879
0.014261961,0.03597045,0.06715679,0.052414775,0.01419291,0.3052187
0.01001668,0.036068916,0.059464455,0.014585882,0.02043669,0.008489132
0.012619257,0.038712025,0.052684784,0.018646121,0.01907593,0.37331486
0.022675872,0.020083666,0.061494827,0.05306965,0.039100558,0.4964881
0.007886529,0.03577757,0.041770935,0.031041026,0.0043935776,0.2674799
0.009998441,0.03814912,0.053886414,0.01648128,0.017814696,0.4047017
0.020839572,0.01743412,0.08126068,0.22651958,0.17535818,0.22322941
0.013453364,0.0120027065,0.07770634,0.041062117,0.061924815,0.3833747
0.011864066,0.035537243,0.07718468,0.054847002,0.02420497,0.14123535
0.004372716,0.0506562,0.06717205,0.033344746,0.039735124,0.5456152
0.013945937,0.049403906,0.07029915,0.10519338,0.0016140938,0.40594196
0.011958241,0.045847297,0.05262947,0.010382891,0.05204904,0.14535904
0.009260654,0.07094598,0.01386261,0.2897334,0.33035886,0.88946533
0.013089955,0.09159279,0.025694847,0.82482815,0.53324586,0.23941803
0.048153877,0.027801275,0.1805439,0.8782387,0.4469366,0.7376404
0.19363463,0.036634803,0.25000286,0.4204731,0.39770603,0.12037659
0.19785541,0.013338327,0.3694601,0.6521778,0.08127403,1.2062073
0.23522988,0.051314354,0.3501768,0.14413595,0.6691709,0.33195114
0.43711102,0.30340362,0.07343674,5.014271,1.953259,11.440689
